names,scores,logfoldchanges,pvals,pvals_adj
PRKG1,61.23,1.4307907,0.0,0.0
HS3ST5,-41.67752,-1.8956914,0.0,0.0
FGF13,-41.627804,-3.8366015,0.0,0.0
VAT1L,-41.37678,-2.7512956,0.0,0.0
CDKN1C,-41.1339,-1.677223,0.0,0.0
CRH,-40.484623,-2.4644156,0.0,0.0
ATP2B4,-40.421833,-3.2104342,0.0,0.0
NEFL,-40.27691,-1.8630321,0.0,0.0
GSTP1,-42.446117,-1.984732,0.0,0.0
DYNC1I1,-40.19792,-3.251035,0.0,0.0
PEG10,-39.16894,-1.9013786,0.0,0.0
CLU,-38.89675,-4.418864,0.0,0.0
LINGO2,-38.7088,-8.700454,0.0,0.0
PTPRD,-38.489277,-7.597967,0.0,0.0
PRUNE2,-38.14796,-3.9632514,0.0,0.0
RRM2,-37.961197,-2.2336366,0.0,0.0
PRPH,-65.86002,-3.156941,0.0,0.0
ADCYAP1,-39.92648,-3.5756805,0.0,0.0
RFC3,-42.49535,-1.4116671,0.0,0.0
CCDC200,-43.128532,-3.9659965,0.0,0.0
B2M,-43.342575,-2.0910504,0.0,0.0
FTH1,-65.43817,-3.4575727,0.0,0.0
GFRA2,-54.80555,-2.3120024,0.0,0.0
GAP43,-53.706623,-3.2614822,0.0,0.0
MAP1B,-53.4041,-8.030319,0.0,0.0
SNRPN,-52.44538,-2.4963524,0.0,0.0
TUBB2A,-50.42461,-2.2828186,0.0,0.0
CD44,-50.037804,-2.490543,0.0,0.0
FTL,-49.25321,-2.796998,0.0,0.0
ARHGAP36,-49.191833,-3.1042347,0.0,0.0
CLSTN2,-48.80606,-6.1145535,0.0,0.0
ATP8A2,-46.291874,-2.8907475,0.0,0.0
S100A6,-45.12778,-3.1088305,0.0,0.0
CYB561,-44.680733,-1.5974675,0.0,0.0
SST,-44.270477,-2.2499325,0.0,0.0
MAP1A,-44.138775,-2.0729196,0.0,0.0
CALCA,-43.805984,-4.3898187,0.0,0.0
CIT,-43.624794,-1.7043594,0.0,0.0
PRKD1,37.760365,0.52656436,0.0,0.0
RBPMS,38.715675,2.2246523,0.0,0.0
KRT19,-73.08509,-3.6995754,0.0,0.0
PDE10A,39.357803,0.2683148,0.0,0.0
PLXDC2,43.372284,0.9537739,0.0,0.0
COL6A3,43.069847,2.6171446,0.0,0.0
PDE3A,42.95058,0.52900827,0.0,0.0
COL4A2,42.385338,1.2112434,0.0,0.0
GALNTL6,41.703262,1.2576928,0.0,0.0
DMD,41.22564,0.6673284,0.0,0.0
XYLT1,41.021526,0.25682384,0.0,0.0
NCKAP5,40.947765,0.595929,0.0,0.0
